,genre,artist,song,lyrics
20,Rock,Whitesnake,Still of the Night,in the still of the night i hear the wolf howl honey sniffing around your door in the still of the night i feel my heart beating heavy telling me i gotta have more in the shadow of night i see the full moon rise telling me what's in store my heart start aching my body start a shaking and i can't take no more no no no now i just wanna get close to you and taste your love so sweet and i just wanna make love to you feel your body heat in the still of the night in the still of the night over here baby in the heat of the day i hang my head down low and hide my face from the sun through the light of the day until the evening time i'm waiting for the night to come ooh baby in the still of the night in the cool moonlight i feel heart is aching in the still of the night ooh baby ooh babe i can't keep away inaudible need to be closer i can't keep away can't keep away can't keep away i can't keep away no you gotta give me love got to give me some loving everyday can't keep away ooh baby ooh lord ahh tell me here baby in the still of the night i hear the wolf howl honey sniffing around your door in the still of the night i feel my heart beating heavy telling me i gotta have more ooh mama now i just wanna get close to you and taste your love so sweet and i just wanna make love to you feel your body heat in the still of the night oh yeah in the still of the night i will be incomprehensible 'round your door  in the still of the night in the still of the night ain't nothing gonna stop me now still of the night still of the night still of the night still of the night still of the night still of the night still of the night still of the night still of the night 
21,Rock,The Jimi Hendrix Experience,Hey Joe,hey joe where you goin' with that gun in your hand hey joe i said where you goin' with that gun in your hand i'm going down to shoot my old lady you know i've caught her messin' around with another man i'm going down to shoot my old lady you know i've caught her messin' around with another man and that ain't too cool hey joe i've heard you shot your woman down shot her down now i said i've heard you shot your old lady down you shot her down to the ground yes i did i shot her you know i caught her messin' round messin' round town yes i did i shot her you know i caught my old lady messin' around town and i gave her the gun i shot her hey joe alright shoot her one more time baby hey joe said now where you gonna run to now where you gonna run to hey joe i said where you gonna run to now where you where you gonna go well dig it i'm goin' way down south way down to mexico way alright i'm goin' way down south way down where i can be free ain't no one gonna find me ain't no hangman gonna he ain't gonna put a rope around me you better believe it right now i gotta go now hey joe you better run on down good by everybody hey joe uhh run on down
22,Rock,Iron Butterfly,In-A-Gadda-Da-Vida,inagaddadavida honey don't you know that i love you inagaddadavida baby don't you know that i'll always be true oh won't you come with me and take my hand oh won't you come with me and walk this land please take my hand inagaddadavida honey don't you know that i love you inagaddadavida baby don't you know that i'll always be true oh won't you come with me and take my hand oh won't you come with me and walk this land please take my hand inagaddadavida honey don't you know that i love you inagaddadavida baby don't you know that i'll always be true oh won't you come with me and take my hand oh won't you come with me and walk this land please take my hand
23,Rock,Lynyrd Skynyrd,Freebird,if i leave here tomorrow would you still remember me for i must be traveling on now 'cause there's too many places i've got to see but if i stayed here with you girl things just couldn't be the same 'cause i'm as free as a bird now and this bird you cannot change oh oh oh oh oh and the bird you cannot change and this bird you cannot change lord knows i can't change bye bye baby it's been a sweet love yeah yeah though this feeling i can't change but please don't take it so badly 'cause the lord knows i'm to blame but if i stayed here with you girl things just couldn't be the same 'cause i'm as free as a bird now and this bird you cannot change oh oh oh oh oh and this bird you cannot change and this bird you cannot change lord knows i can't change lord help me i can't change lord i can't change won't you fly high freebird yeah
24,Rock,Foo Fighters,Everlong,"foo fighters the colour and the shape everlong hello i've waited here for you everlong tonight i throw myself into and out of the red out of her head she sang come down and waste away with me down with me slow out you wanted it to be over my head out of my head she sang <span class""icomment"" datachunkid""7043"" href""http//wwwsonglyricscom/annot7043"">and i wonder when i sing along with you if everything could ever feel this real forever if anything could ever be this good again the only thing i'll ever ask of you you've got to promise not to stop when i say when she sang breathe out so i can breathe you in hold you in and now i know you've always been out of your head out of my head i sang and i wonder if everything could ever feel this real forever if anything could ever be this good again the only thing i'll ever ask of you you've got to promise not to stop when i say when"
25,Rock,Pearl Jam,Even Flow,freezin' rests his head on a pillow made of concrete again oh feelin' maybe he'll see a little better set a days oh hand out faces that he sees time again ain't that familiar oh dark grin he can't help when he's happy looks insane yeah even flow thoughts arrive like butterflies oh he don't know so he chases them away yeah oh someday yet he'll begin his life again life again life again kneeling looking through the paper though he doesn't know to read oh praying now to something that has never showed him anything oh feeling understands the weather of the winters on its way oh ceilings few and far between all the legal halls of shame yeah even flow thoughts arrive like butterflies oh he don't know so he chases them away oh someday yet he'll begin his life again oh whispering hands gently lead him away him away him away yeah oh even flow thoughts arrive like butterflies oh he don't know so he chases them away yeah someday yet he'll begin his life again maybe in the next life whispering hands gently lead him away him away him away yeah
26,Rock,Ted Nugent,Cat Scratch Fever,ted nugent miscellaneous cat scratch fever well i don't know where they come from but they sure do come i hope they comin' for me and i don't know how they do it but they sure do it good i hope they doin' it for free  they give me cat scratch fever cat scratch fever  the first time that i got it i was just ten years old i got it from some kitty next foor i went and see the dr and he gave me the cure i think i got it some more  they give me cat scratch fever cat scratch fever  it's nothin dangerous i feel no pain i've got to chchchange you know you got it when you're going insane it makes a grown man cryin' cryin' won't you make my bed  i make the pussy purr with the stroke of my hand they know they gettin' it from me they know just where to go when they need their lovin man they know i do it for free  they give me cat scratch fever cat scratch fever
27,Rock,Queen,Stone Cold Crazy,sleeping very soundly on a saturday morning i was dreaming i was al capone there's a rumour going round gotta clear outa town i'm smelling like a dry fish bone here come the law gonna break down the door gonna carry me away once more never never never get it any more gotta get away from this stone cold floor crazy stone cold crazy you know rainy afternoon i gotta blow a typhoon and i'm playing on my slide trombone anymore anymore cannot take it anymore gotta get away from this stone cold floor crazy stone cold crazy you know walking down the street shooting people that i meet with my rubber tommy water gun here come the deputy he's gonna come and getta me i gotta get me get up and run they got the sirens loose i ran outa juice they're gonna put me in a cell if i can't go to heaven will they let me go to hell crazy stone cold crazy you know
28,Rock,Quiet Riot,Cum On Feel The Noize,baby baby baby eeow so you think i got an evil mind well i'll tell you honey and i don't know why and i don't know why so you think my singing's out of time well it makes me money and i don't know why and i don't know why anymore oh no  so cum on feel the noize girls rock your boys we get wild wild wild we get wild wild wild so cum on feel the noize girls rock your boys we get wild wild wild at your door so you think i got a funny face i ain't got no worries and i don't know why and i don't know why so i'm a scruff bag well it's no disgrace i ain't in no hurry and i don't know why i just don't know why anymore oh no so you think we have a lazy time well you should know better and i don't know why i just don't know why and you say i got a dirty mind well i'm a mean go getter and i don't know why and i don't know why anymore oh no so cum on feel the noize girls rock your boys we get wild wild wild we get wild wild wild  search for your music
29,Rock,Green Day,Basket Case,do you have the time to listen to me whine about nothin' and everything all at once i am one of those melodramatic fools neurotic to the bone no doubt about it sometimes i give myself the creeps sometimes my mind plays tricks on me it all keeps addin' up i think i'm crackin' up and am i just paranoid am i just stoned yea i went to a shrink to analyze my dreams she says it's lack of sex that's bringin' me down and i went to a whore he said my life's a bore so i quit my whinin' 'cause it's bringin' her down sometimes i give myself the creeps sometimes my mind plays tricks on me it all keeps addin' up i think i'm crackin' up and am i just paranoid ah yea yea yea go go grasping to control so i better hold on sometimes i give myself the creeps sometimes my mind plays tricks on me it all keeps addin' up and i think i'm crackin' up and am i just paranoid am i just stoned
